,index,Name,Latitude,Longitude,City,Address,Phone_number,n_bus,n_bike,n_skiing
11,11,BAITA ALPINA,46.169799,11.302225,Bedollo,"Loc. Pec, 27",+39 0461 556033,Svaldi,Mach,Alpe Cermis-Cavalese
12,12,SAUCH,46.214783,11.192523,Giovo,Loc. Sauch,+39 0461 683768  +39 335 5933061,Pineta di Faedo,Stazione TN-Malè - RFI,Paganella/Andalo
13,13,TIROL,46.2173,11.3267,Sover,"Fr. Montesover, Via D. Santuari, 3",+39 0461 698377,Montesover,Mach,Alpe Cermis-Cavalese
14,14,LA VECCHIA SEGHERIA,46.133657,11.24747,Baselga di Piné,"Vicolo delle Roge, 7",+39 0461 558651,Baselga di Pine'-Lago,Grazioli,Paganella/Andalo
15,15,PIZZERIA BAR CENTRALE (BEDOLLO),46.160929,11.302517,Bedollo,"VIA VERDI, 46",+39 0461 556625,Centrale di Bedollo,Mach,Alpe Cermis-Cavalese
16,16,ALLE PIRAMIDI,46.187355,11.2584,Stredro,"FRAZIONE SCANCIO, 24 Fraz. SCANCIO",+39 0461 686106,Scancio di Segonzano,Mach,Paganella/Andalo
17,17,AL LAGO,46.144035,11.218902,Lases,"Fr. Lases, Via Nazionale, 16",+39 0461 689207,Lases-Pesa,Grazioli,Paganella/Andalo
18,18,SERGIO,46.135142,11.249391,Baselga di Piné,"Viale della Serraia, 7/a",+39 0461 557124,Baselga di Pine'-Lago,Grazioli,Paganella/Andalo
19,19,AL LIDO,46.14042,11.25674,Baselga di Piné,"Via del Lido, 1",+39 0461 557670,Sternigo Bivio,Mach,Paganella/Andalo
20,20,OSTERIA DEL MAESTRO - Ristorante Albergo Lagorai,46.1272,11.2466,Baselga di Piné,"VIA DEI CADUTI, 21",+39 0461 557044,Miola,Grazioli,Paganella/Andalo
21,21,LAGO SANTA COLOMBA,46.12445,11.1798,Civezzano,"LOCALITA' SANTA COLOMBA, 80/81 ",+39 0461 850122,Bosco-Loc. Canova, Gardolo - ex segheria,Paganella/Andalo
22,22,CA' DEI BOCI - Ristorante Romantik Hotel Posta 1899,46.098624,11.235974,Baselga di Piné,"VIA D. TARGA, 1 Fraz. MONTAGNAGA",+39 0461 558322,Montagnaga, Cimitero Villazzano,Paganella/Andalo
23,23,Ristorante Carraro,46.0804201004719,11.5544682741165,Bieno,"Via A.G. Bettolo, 8",+39 (0461) 596309,Bieno, Cimitero Villazzano,Lagorai/Passo Brocon-Castello Tesino
24,24,Prime Rose Al Belvedere,46.016217555207,11.2897825241089,Levico Terme,Loc. Belvedere,+39 (0461) 706416,Levico T. Alb.Miralago, Cimitero Villazzano,Lavarone
25,25,"Passo Brocon ""Da Sciopo""",46.119,11.6881,Castello Tesino,Loc. Passo Brocon,+39 (0461) 594364,Ronco Chiesa, Cimitero Villazzano,Lagorai/Passo Brocon-Castello Tesino
26,26,Villa Ester,46.0151893502917,11.2646341323853,Tenna,"Via Campolongo, 22",+39 (0461) 706539,Tenna-Sp 16 Al Km 4, Cimitero Villazzano,Lavarone
27,27,La Cantina - LevicoLand,46.0075740782513,11.2923574447632,Levico Terme,"Via Traversa Lido, 5",+39 (0461) 700029,Levico T. Rist.Brenta, Cimitero Villazzano,Lavarone
28,28,Ristorante Mezzolago,46.0260664914701,11.2307095527649,Pergine Valsugana,"Fraz. Valcanover, 85",+39 (0461) 530158,Valcanover, Cimitero Villazzano,Lavarone
29,29,Baitella Lino,46.0504056521342,11.2568235397339,Pergine Valsugana,"Via per la Panarotta, 10 - Assizzi",+39 (0461) 511351,Assizzi, Cimitero Villazzano,Lavarone
30,30,La Stua,46.009407204326,11.2999749183655,Levico Terme,"Via Battisti, 62",+39 (0461) 707028,Levico Terme Autostazione, Cimitero Villazzano,Lavarone
31,31,La Tana dei Golosi di Garbari sas,46.0509864435783,11.2227702140808,Pergine Valsugana,"Via Rio Santo, 7 - Susà",+39 (0461) 530996,Susa', Cimitero Villazzano,Lavarone
32,32,Sapori e Saperi di F&H Dynamics ,46.0602633865876,11.2373292446136,Pergine Valsugana,"Viale Venezia, 7",+39 (0461) 510859,Pergine V. V.Le Venezia, Cimitero Villazzano,Lavarone
33,33,Scaranò,46.0161132454348,11.3154244422913,Levico Terme,"Via Per Vetriolo, 86",+39 (0461) 706810,Levico T. Polo Scolastico, Cimitero Villazzano,Lavarone
34,34,Albergo Valcanover,46.0275861408122,11.2296581268311,Pergine Valsugana,"Fraz. Valcanover, 73",+39 (0461) 548037,Valcanover, Cimitero Villazzano,Lavarone
35,35,Veg Point,46.0128646426197,11.2670803070068,Tenna,"Via Alberè, 22/1",+39 (0461) 700149,Tenna, Cimitero Villazzano,Lavarone
36,36,Albergo Miramonti,46.0501524847217,11.2524461746216,Pergine Valsugana,"Via alle Canzane, 5",+39 (0461) 531268,Assizzi Bivio-Dir. Levico, Cimitero Villazzano,Lavarone
37,37,Bar - One Rosso,46.014250537803,11.2667798995972,Tenna,"Via Alberè, 28",+39 (0461) 706448,Tenna, Cimitero Villazzano,Lavarone
38,38,Rifugio Barricata,45.9786085879012,11.5910911560059,Grigno,Loc. Marcesina,+39 (0461) 765139,Grigno-Staz. Fs, Cimitero Villazzano,Lagorai/Passo Brocon-Castello Tesino
39,39,La Darsena,46.0384012615909,11.2369644641876,Pergine Valsugana,"Via dei Pescatori, 47 - S. Cristoforo",+39 (0461) 533569,S.Cristoforo Al Lago, Cimitero Villazzano,Lavarone
40,40,Vezzena,45.9571765971136,11.3289642333984,Levico Terme,Passo Vezzena,+39 (0461) 784197,Monterovere, Mattarello,Lavarone
41,41,Betty's Hill,46.078500021792,11.5810060501099,Pieve Tesino,Loc. Pradellano,+39 (0461) 594015,Largo di Pradellano, Cimitero Villazzano,Lagorai/Passo Brocon-Castello Tesino
42,42,Vecchia Pergine,46.0589382044302,11.2403118610382,Pergine Valsugana,"Via Maier, 71",+39 (0461) 511201,Pergine V. Bivio Susà, Cimitero Villazzano,Lavarone
43,43,Alla Corte,46.0777111328917,11.206226348877,Pergine Valsugana,"Via al Dos dela Roda, 41 - Cirè",+39 (0461) 531710,Cirè-Ex Statale, Cimitero Villazzano,Lavarone
44,44,Albergo Alla Comparsa,46.0941563885027,11.2337779998779,Pergine Valsugana,"Loc. Guarda, 14",+39 (0461) 557707,Montagnaga, Cimitero Villazzano,Paganella/Andalo
45,45,Sale & Pepe,46.0533542224146,11.4552211761475,Borgo Valsugana,"Via XI Febbraio, 4",+39 (0461) 757043,Borgo-Bocciodromo, Cimitero Villazzano,Lagorai/Passo Brocon-Castello Tesino
46,46,Al Posta,46.0613651992214,11.2383913993835,Pergine Valsugana,"Via Pennella, 104",+39 (0461) 532274,Pergine V., Cimitero Villazzano,Lavarone
47,47,Albergo Ristorante Turismo,46.0596,11.2372,Pergine Valsugana,"Viale Venezia, 20",+39 (0461) 531073,Pergine V. V.Le Venezia, Cimitero Villazzano,Lavarone
48,48,Albergo Ristorante Meridiana,46.0396971464544,11.2421035766602,Pergine Valsugana,"Via della Valsugana, 7 - San Cristoforo",+39 (0461) 538039,S.Cristoforo-Ht.Meridiana, Cimitero Villazzano,Lavarone
49,49,Baita Al Verle,45.9584296347948,11.3272476196289,Levico Terme,"Via dei Forti, 4 - Passo Vezzena",+39 (0461) 784050,Monterovere, Mattarello,Lavarone
50,50,Romanda,46.0112551723709,11.30042552948,Levico Terme,"Via Garibaldi, 7",+39 (0461) 707122,Levico Terme Autostazione, Cimitero Villazzano,Lavarone
51,51,S. Giorgio,46.0531010685176,11.4579033851624,Borgo Valsugana,"Via Fratelli, 6",+39 (0461) 753693,Borgo V. Sp.40, Cimitero Villazzano,Lagorai/Passo Brocon-Castello Tesino
52,52,Umberto I (Grand Hotel Bellavista),46.0157,11.2954,Levico Terme,"Via V. Emanuele III, 7",+39 (0461) 706136,Levico T. Alb.Miralago, Cimitero Villazzano,Lavarone
53,53,Albergo Ristorante La Rotonda,46.058789305571,11.2375330924988,Pergine Valsugana,"Viale Venezia, 37",+39 (0461) 531128,Pergine V. Bivio Susà, Cimitero Villazzano,Lavarone
54,54,La Giachenza (Hotel Al Salus),46.0143213218398,11.2961393594742,Levico Terme,"Via Pigio, 3/5",+39 (0461) 706328,Levico T. Alb.Miralago, Cimitero Villazzano,Lavarone
55,55,Compet,46.0394588250821,11.2998676300049,Vignola Falesina,"Loc. Compet, 26",+39 (0461) 706466,Vignola, Cimitero Villazzano,Lavarone
56,56,Da Remo,45.9975727842012,11.6663217544556,Grigno,"Via Masetto Vecchio, 59 - Fraz. Tezze",+39 (0461) 769190,Tezze-V. Masetto Vecchio, Cimitero Villazzano,Lagorai/Passo Brocon-Castello Tesino
57,57,Albergo Ristorante Pizzeria Cirè,46.0751,11.2107,Pergine Valsugana,"Via per Trento, 3 - Cirè",+39 (0461) 538444,Cire' Via Al Dos De La Roda 12, Cimitero Villazzano,Lavarone
58,58,Canterbury,46.0614768681936,11.6317749023438,Castello Tesino,"Via F.lli Ballerin, 12/b",+39 (0461) 594383,Castello T.-Via Baili, Cimitero Villazzano,Lagorai/Passo Brocon-Castello Tesino
59,59,Spiky Pizza,46.0091538490556,11.3007581233978,Levico Terme,"Corso Centrale, 19",+39 (0461) 707707,Levico Terme Autostazione, Cimitero Villazzano,Lavarone
60,60,Aurora L'Istciot,46.039786516704,11.3001251220703,Vignola Falesina,"Loc. Compet, 28",+39 (0461) 706447,Vignola, Cimitero Villazzano,Lavarone
61,61,Spaghetti Club,46.0030431645636,11.2820792198181,Caldonazzo,"Loc. Costa di Brenta, 5",+39 (0461) 701494,Caldonazzo-Sp. Civ.85/B, Cimitero Villazzano,Lavarone
62,62,Carlon,46.0060836870758,11.3802909851074,Borgo Valsugana,Loc. Sella,+39 (0461) 761036,Novaledo, Cimitero Villazzano,Lavarone
63,63,Pizzeria Spaghetteria Panorama,46.0044814717762,11.2593019008636,Calceranica Al Lago,"Viale Venezia, 19",+39 (0461) 723479,Caldonazzo-Staz. Fs, Mattarello,Lavarone
64,64,Vecchia Fontana,46.0108826031376,11.3016486167908,Levico Terme,"Piazza Venezia, 5",+39 (0461) 706366,Levico Terme Autostazione, Cimitero Villazzano,Lavarone
65,65,Vecchia Fattoria,46.0106292546253,11.296112537384,Levico Terme,"Via Per Caldonazzo, 31",+39 (0461) 700242,Levico Terme Autostazione, Cimitero Villazzano,Lavarone
66,66,La rustica,46.0510609035782,11.4566588401794,Borgo Valsugana,"Via Naurizio, 18",+39 (0461) 752648,Borgo V. Sp.40, Cimitero Villazzano,Lagorai/Passo Brocon-Castello Tesino
67,67,Chalet Paradiso,46.1051370051494,11.6551208496094,Castello Tesino,Loc. Marande,,Castello T.-Loc. Molini, Cimitero Villazzano,Lagorai/Passo Brocon-Castello Tesino
68,68,Alla Stella,46.069680197538,11.2069988250732,Pergine Valsugana,"Via La Svizzera, 41 - Roncogno",+39 (0461) 532715,Roncogno, Cimitero Villazzano,Lavarone
69,69,Camping Alice,46.041953701001,11.6472887992859,Castello Tesino,Loc. Celado,+39 (0461) 594018,Castello Tesino, Cimitero Villazzano,Lagorai/Passo Brocon-Castello Tesino
70,70,Bar Maso Al Vetriolo Vecchio,46.0413951564783,11.3098239898682,Levico Terme,Loc. Vetriolo,+39 (0461) 701564,Vignola, Cimitero Villazzano,Lavarone
71,71,Cafè Ristorante Sapori e Saperi ,46.0603080550949,11.2373828887939,Pergine Valsugana,"Viale Venezia, 7",+39 (0461) 510859,Pergine V. V.Le Venezia, Cimitero Villazzano,Lavarone
72,72,Bici Grill Levico,46.0019103781571,11.3096523284912,Levico Terme,"Via per Santa Giuliana, 10",+39 (328) 6548969,Levico Terme-Staz. Fs, Cimitero Villazzano,Lavarone
73,73,Pizza Mania,46.059265780507,11.2373828887939,Pergine Valsugana,"Viale Venezia, 29",+39 (0461) 512830,Pergine V. Bivio Susà, Cimitero Villazzano,Lavarone
74,74,Pizzo degli Uccelli,46.1188671376725,11.6885089874268,Castello Tesino,Loc. Passo Brocon,+39 (0461) 594365,Ronco Chiesa, Cimitero Villazzano,Lagorai/Passo Brocon-Castello Tesino
75,75,Alla Torre,45.9926907210768,11.2591302394867,Caldonazzo,"Via della Villa, 37",+39 (0461) 723331,Caldonazzo, Mattarello,Lavarone
76,76,Bar Trento,46.0803159118704,11.5529179573059,Bieno,"Via Milano, 10",+39 (340) 3134256,Bieno, Cimitero Villazzano,Lagorai/Passo Brocon-Castello Tesino
77,77,Papillon,46.0091240424769,11.3117229938507,Levico Terme,"Via Giannettini, 9",+39 (0461) 706341,Levico T. Via Rovigo, Cimitero Villazzano,Lavarone
78,78,IL LIBERTINO,46.070125,11.124925,Trento,"Piazza Piedicastello, 4-6 ",(+39) 0461 260085,Castello Buonconsiglio, Biblioteca,Paganella/Andalo
79,79,LOCANDA MARGON,46.069691,11.121088,Trento,"Via Margone, 15",(+39) 0461 349401,Torre Verde Galasso, Biblioteca,Paganella/Andalo
80,80,CLESIO c/o GRAND HOTEL TRENTO,46.070544,11.121636,Trento,"Via Vittorio Alfieri, 1/3",(+39) 0461271000,Torre Verde Galasso, Biblioteca,Paganella/Andalo
81,81,DOC,46.061719,11.129111,Trento,"Via Milano, 148",(+39) 0461 262022,"Dei Mille ""Villa Igea""", Gorizia,Monte Bondone
82,82,HOTEL RELAIS VILLA MADRUZZO,46.074016,11.146816,Trento,"Via Ponte Alto, 26",(+39) 0461 986220,Cognola Grezoni, Piazza Venezia,Paganella/Andalo
83,83,MOVER,46.101533,11.101316,Trento,"Via Innsbruck, 13",(+39) 0461 966899,Roncafort, Roncafort,Paganella/Andalo
84,84,CHISTE,46.068883,11.121255,Trento,"Via delle Orne, 4",(+39) 0461 262979,Trento Via Rosmini, Biblioteca,Paganella/Andalo
85,85,NIKY'S,46.055005,11.120361,Trento,"Via San Pio X, 29",(+39) 0461 390828,S.Pio X Benevoli, Bezzi,Monte Bondone
86,86,ALLA MOSTRA,46.071188,11.125855,Trento,"Piazza della Mostra, 13 ",(+39) 0461 230787,"Sanzio ""Castello""", Biblioteca,Paganella/Andalo
87,87,AMERICA  EL MERICAN,46.070986,11.12343,Trento,"Via Torre Verde, 50",(+39) 0461 983010,Torre Verde Galasso, Biblioteca,Paganella/Andalo
88,88,AL MARINAIO ,46.033955,11.129333,Trento,Via dei Marinai dItalia ,(+39) 0461 1734471/933053,Parcheggio Area Camper, Lidorno,Monte Bondone
89,89,DUE MORI ,46.064622,11.123308,Trento,"Via S. Marco, 11",(+39) 0461 984251,Piazza di Fiera, Centro Santa Chiara,Monte Bondone
90,90,AL VOLT,46.14205,11.155242,Trento,"Via Santa Croce ,16 ",(+39) 0461 983776,Verla-Cantina Rossi,Grazioli,Paganella/Andalo
91,91,AI VICOLI ,46.069691,11.121088,Trento,Piazza Santa Teresa Verzieri ,(+39) 0461 260673,Torre Verde Galasso, Biblioteca,Paganella/Andalo
92,92,GREEN TOWER,46.069691,11.121088,Trento,"Piazza S. Pellico, 12 ",(+39) 0461 231545,Torre Verde Galasso, Biblioteca,Paganella/Andalo
93,93,SCRIGNO DEL DUOMO,46.067352,11.120883,Trento,"Piazza Duomo, 29",(+39) 0461 220030,Rosmini S.Maria Maggiore, Università,Paganella/Andalo
94,94,LA CANTINOTA,46.069691,11.121088,Trento,"Via S. Marco, 22-24",(+39) 0461 238527,Torre Verde Galasso, Biblioteca,Paganella/Andalo
95,95,AL VO,46.070791,11.123888,Trento,"Vicolo del Vo, 11",(+39) 0461 985374,Torre Verde Galasso, Biblioteca,Paganella/Andalo
96,96,TORREFRANCA,46.00625,11.136672,Trento,"Via Pomeranos, 43",(+39) 0461 944511,"Mattarello ""Torre Franca""", Mattarello,Monte Bondone
97,97,IL CAPPELLO,46.069691,11.121088,Trento,"Piazzetta B. Lunelli, 5",(+39) 0461 235850,Torre Verde Galasso, Biblioteca,Paganella/Andalo
98,98,FORST,46.068916,11.122541,Trento,"Via Oss Mazzurana, 38",(+39) 0461 235590,Torre Verde Galasso, Biblioteca,Paganella/Andalo
99,99,IL SIMPOSIO,46.067966,11.118869,Trento,"Via Rosmini, 19",(+39) 0461 261848,Rosmini S.Maria Maggiore, Università,Paganella/Andalo
100,100,OSTERIA DA GUIDO,46.069413,11.126516,Trento,Parco San Marco (via livio marchetti 9?),(+39) 0461 262418,Trento Port'aquila, Piazza Venezia,Paganella/Andalo
101,101,AI TRE GAROFANI,46.0657,11.123022,Trento,"Via Giuseppe Mazzini, 33 ",(+39) 0461 237543,Piazza di Fiera, Centro Santa Chiara,Paganella/Andalo
102,102,OLYMPIC,46.057736,11.112491,Trento,"Via R. da Sanseverino, 125",(+39) 0461 391215,Sanseverino Monte Baldo, Muse,Monte Bondone
103,103,4 STAGIONI,46.075252,11.137725,Trento,"Via San Vito, 36",(+39) 0461 987031,San Vito, Piazza di Centa,Paganella/Andalo
104,104,ROSA DORO,46.069691,11.121088,Trento,"Piazza S. Maria Maggiore, 21",(+39) 0461 261792,Torre Verde Galasso, Biblioteca,Paganella/Andalo
105,105,EVEREST,46.078808,11.11828,Trento,"Corso Alpini, 14",(+39) 0461 825300,Degli Alpini Oberziner, Campo CONI,Paganella/Andalo
106,106,DUO,46.070127,11.119711,Trento,"Via Torre Vanga, 14",(+39) 0461 1594461/1594462,Cavalcavia S.Lorenzo, Stazione Autocorriere,Paganella/Andalo
107,107,TEX-MEX RESTAURANT CUEVA MAYA,46.06745,11.12088,Trento,"Piaza Duomo, 22",(+39) 0461 984507,Rosmini S.Maria Maggiore, Università,Paganella/Andalo
108,108,SAPORI MEDITERRANEI,46.065072,11.113966,Trento,"Via Roberto da Sanseverino, 39/4",(+39) 0461 984360,Sanseverino Verdi, Università,Paganella/Andalo
109,109,A LE DUE SPADE,46.067225,11.120036,Trento,"Via Don A. Rizzi, 11 ",(+39) 0461 234343,Rosmini S.Maria Maggiore, Università,Paganella/Andalo
110,110,IL GIARDINO DELLE SPEZIE,46.058436,10.9809,Pardegnone,"Via Nazionale, 109",(+39) 0461 340122,Due Laghi-Hotel Miralaghi, Zuffo 2 via dos Trento,Monte Bondone
111,111,ORSO GRIGIO,46.065583,11.122052,Trento,"Via degli Orti, 19",(+39) 0461 984400,Travai Piazza Fiera, Università,Paganella/Andalo
112,112,NEVADA,46.039756,11.058479,Trento,"Strada di Vason, 61",(+39) 0461 948117,Vason, Muse,Monte Bondone
113,113,RIFUGIO VIOTE,46.02325,11.038169,Trento,"Località Viote, 6",(+39) 0461 948033 - 348 3590494,Viote, Aldeno,Monte Bondone
114,114,UVA E MENTA,46.065422,11.123858,Trento,"Via Dietro le Mura A, 35",(+39) 0461 1903162,Piazza di Fiera, Centro Santa Chiara,Paganella/Andalo
115,115,MALGA CANDRIAI,46.046327,11.065047,Trento,"Strada di Candriai, 4",(+39) 0461 947526,Vaneze-Baita Montesel, Muse,Monte Bondone
116,116,CHALET LO SCIATORE,46.040137,11.05859,Trento,"Strada di Vason, 84",(+39) 340 7124107,Vason, Muse,Monte Bondone
117,117,MALGA BRIGOLINA,46.057136,11.060485,Trento,"Via della Brigolina, 6",(+39) 0461 947474 ,Vaneze-Sp.85, Zuffo 2 via dos Trento,Monte Bondone
118,118,LILLÀ,46.097411,11.058247,Terlago,"Località Maso Travolt, 12",(+39) 0461 866159,Lago di Terlago-Hotel Lillà, Roncafort,Paganella/Andalo
119,119,BAITA IMPERIALE,46.130638,11.204015,Fornace,Loc. Pian del Gac,+39 0461 849202 +39 347 0426302,Pian Del Gac,Grazioli,Paganella/Andalo
120,120,CHIOSCO ALLE PIRAMIDI,46.180679,11.263719,Segonzano,"Fr. Sevignano, 1",+39 338 5267314,Piazzo di Segonzano Bivio,Mach,Paganella/Andalo
121,121,LA LOCANDA DEL PASSATORE,46.18037,11.23473,Faver,"Via Campagna, 16",+39 328 6766881,Faver,Mach,Paganella/Andalo
122,122,CENTRALE,46.160929,11.302517,Bedollo,"Fr. Centrale, Via G. Verdi, 46",+39 0461 556625,Centrale di Bedollo,Mach,Alpe Cermis-Cavalese
123,123,LE TRE COLOMBE,46.1302,11.21425,Fornace,"Loc. S. Stefano, 22",+39 0461 849424  +39 333 5221610,S.Stefano,Grazioli,Paganella/Andalo
124,124,OSTERIA DEL GRILLO,46.23114,11.298379,Grauno,Via Chiesa 17,+39 0461 688027,Grauno,Mach,Alpe Cermis-Cavalese
125,125,SAINT ROCK,46.175202,11.222485,Cembra,"Viale IV Novembre, 51",+39 0461 683030,Cembra,Mach,Paganella/Andalo
126,126,ANGEL PIZZA,46.133304,11.246379,Baselga di Piné,"Corso Roma, 48",+39 0461 557658 +39 349 5067537,Baselga di Pinè Monum.,Grazioli,Paganella/Andalo
127,127,DOLOMITI,46.160312,11.234491,Lases,"VIA PROVINCIALE, 28 Fraz. LONA",+39 0461 697029,Lona,Mach,Paganella/Andalo
128,128,ALBERGO RISTORANTE DUE LAGHI,46.1508,11.273,Baselga di Piné,"LOCALITA' CAMPOLONGO, 116",+39 0461 554074 ,Campolongo,Mach,Paganella/Andalo
129,129,PINETA,46.154753,11.286777,Bedollo,Loc. Lago delle Piazze,+39 0461 556642,Piazze di Bedollo,Mach,Paganella/Andalo
130,130,SERRAIA,46.134668,11.24909,Baselga di Piné,"Viale della Serraia, 3",+39 0461 557027,Baselga di Pine'-Lago,Grazioli,Paganella/Andalo
131,131,EL CASEL EI MASI,46.221951,11.271814,Grumes,"Loc. Maso Noldi, 7 ",+39 0461 688012,Valda Via Centrale 25,Mach,Alpe Cermis-Cavalese
132,132,LA CANOPA,46.10247,11.192871,Civezzano,"Fr. Penedallo, 3",+39 0461 850103,Penedallo Via Alle Praderie, Bren Center,Paganella/Andalo
133,133,ALBERGO ANITA,46.133233,11.248433,Baselga di Piné,"VIA DEL FÒSCH, 21",+39 0461 557106,Baselga di Pine'-Lago,Grazioli,Paganella/Andalo
134,134,EL FILO',46.139986,11.252489,Baselga di Piné,"Fr. Sternigo, Via Miralago, 43",+39 0461 553156,Sternigo Bivio,Mach,Paganella/Andalo
135,135,RISTORANTE PENSIONE MARIA TURISMO RURALE,46.23814,11.325241,Sover,"VIA DEL LAGORAI, 30 Fraz. PISCINE",+39 0461 698251,Piscine,Mach,Alpe Cermis-Cavalese
136,136,ALBERGO RISTORANTE SAN GIORGIO,46.1005,11.235456,Baselga di Piné,"VIA BERNARDI, 2 Fraz. MONTAGNAGA",+39 0461 557756,"Montagnaga ""Villa Alpina""", Cimitero Villazzano,Paganella/Andalo
137,137,PONCIACH,46.20728,11.231062,Faver,"VIA PONCIACH, 14 Fraz. PONCIACH",+39 0461 683166,Faver Loc. Portegnago,Mach,Paganella/Andalo
138,138,MAGIC PIZZA,46.144912,11.200249,Albiano,"Via Roma, 39/b",+39 0461 687069,Albiano Via Roma Civ.35,Grazioli,Paganella/Andalo
139,139,MAGIC PIZZA,46.083434,11.199126,Civezzano,"Loc. Mochena, 4 - c/o Centro Commerciale Europa",+39 0461 858758,Civezzano-Centro Europa, Cimitero Villazzano,Paganella/Andalo
140,140,L'OSTERIA DEI TÒNI,46.1828,11.3255,Bedollo,"PIAZZA ROSMINI, 2 Fraz. BRUSAGO",+39 0461 556646 +39 333 5760608,Brusago,Mach,Alpe Cermis-Cavalese
141,141,DUE CAMINI,46.126021,11.243774,Baselga di Piné,"Via del 26 Maggio, 65",+39 0461 557200,Miola-Bivio Ferrari/Miola,Grazioli,Paganella/Andalo
142,142,PIZZA PONDY,46.174781,11.220538,Cembra,"Viale IV Novembre, 23/1",+39 348 4286248,Cembra,Mach,Paganella/Andalo
143,143,LA CAPANNINA,46.143374,11.245858,Baselga di Piné,Loc. Bedolpian,+39 328 8888269,Baselga di Pine'-Lago,Mach,Paganella/Andalo
144,144,LAGO SANTO,46.1969,11.2055,Cembra,"LOCALITÀ LAGO SANTO, 1 Fraz. LAGO SANTO",+39 0461 683066,Cembra-Loc.Molini,Mach,Paganella/Andalo
145,145,CANE' IN FIORE,46.12019,11.261748,Baselga di Piné,"LOC. CANE', 241/1",+39 0461 558270,Canè, Bren Center,Paganella/Andalo
146,146,MIRAMONTI,46.1558,11.2879,Bedollo,"VIA CAVOUR, 20 Fraz.Piazze di Bedollo",+39 0461 556626,Piazze di Bedollo,Mach,Paganella/Andalo
147,147,MASO SVESERI,46.20683,11.32401,Sover,"VIA SVESERI, 22",+39 0461 698106,Sveseri,Mach,Alpe Cermis-Cavalese
148,148,STELLA ALPINA,46.221688,11.293805,Grumes,"Piazza Municipio, 1",+39 0461 685019,Grumes,Mach,Alpe Cermis-Cavalese
149,149,BEL BAIT,46.162608,11.131155,Giovo,"Fr. Palù, Loc. Santa Croce",+39 0461 684111  +39 0461 246480,Passo Croce, Nave San Rocco,Paganella/Andalo
150,150,FIOR DI BOSCO,46.1776,11.1674,Giovo,"FRAZIONE MASEN, 10",+39 0461 695008,Ville di Giovo,Mach,Paganella/Andalo
151,151,BAITA MONTE PAT,46.221088,11.344754,Sover,"Loc. Vernera,1",,Montesover,Mach,Alpe Cermis-Cavalese
152,152,AL CAMINETTO,46.1743,11.2235,Cembra,"Via C. Battisti, 7/9",+39 0461 683007,Cembra,Mach,Paganella/Andalo
153,153,MASO FRANCH GOURMET E RELAIS,46.143058,11.118222,Giovo,"Maso Franch, 2",+39 0461 245533,Maso Franch,Grazioli,Paganella/Andalo
154,154,Rifugio Crucolo,46.120964,11.498823,Scurelle,Loc. Val Campelle,+39 (0461) 766093,Samone, Cimitero Villazzano,Lagorai/Passo Brocon-Castello Tesino
155,155,Cantinota,46.0113818453386,11.3013803958893,Levico Terme,"Via Trieste, 1",+39 (0461) 701699,Levico Terme Autostazione, Cimitero Villazzano,Lavarone
156,156,Malga Sorgazza,46.1335752604075,11.5986442565918,Pieve Tesino,Loc. Sorgazza,+39 (346) 2304405,Pradellano, Cimitero Villazzano,Lagorai/Passo Brocon-Castello Tesino
