,index,Name,Latitude,Longitude,City,Address,Phone_number,n_bike,n_bus,n_barpub
18,18,Prada Sport *,46.038625,11.05827,Trento,"Strada di Vason, 87",+39 0461 948188, PalaTrento,Vason,QUASI BAR
19,19,Alpine Mugon ****,46.041015,11.059336,Trento,"Strada per Vason, 118",+39 0461 947116 - 0461 939063, Muse,Vason,QUASI BAR
20,20,Venezia **,46.067268,11.121232,Trento,"Piazza Duomo, 45",+39 0461 234559, Università,Rosmini S.Maria Maggiore,QUASI BAR
21,21,Nevada **,46.039757,11.058471,Trento,"Strada di Vason, 61",+39 0461 948117, Muse,Vason,QUASI BAR
22,22,Sporting Trento ***,46.051187,11.111769,Trento,"Via R. da Sanseverino, 125",+39 0461 391215, Bezzi,Sanseverino S.Nicolò,QUASI BAR
23,23,San Giorgio della Scala ***,46.07352,11.103739,Trento,"Via Brescia, 133",+39 0461 238848, Zuffo 2 via dos Trento,"Brescia ""Ca Dei Gai""",QUASI BAR
24,24,Laghetto ***,46.001799,11.085583,Garniga Terme,"Via Bagni di Fieno, 19",+39 0461 842909, Aldeno,Garniga Terme,Rosa Nera
25,25,Floriani ***,46.033933,11.004701,Lagolo,"Via Coste de Lagol, 9",+39 0461 564241, Muse,Madruzzo Bivio,Gourmet Relais & Maso Franch
26,26,Ideal ***,46.046988,10.952119,Madruzzo,"Piazza Valussi, 2",+39 0461 564131, Zuffo 2 via dos Trento,Sarche-Centro Comm.,Gourmet Relais & Maso Franch
27,27,Miramonti ***,46.001956,11.085328,Garniga Terme,"Via dei Bagni di Fieno, 20",+39 0461 843243, Aldeno,Garniga Terme,Rosa Nera
28,28,Dolomiti Chalet Family hotel ***,46.027558,11.045175,Trento,"Strada di Vason, 88",+39 0461 947158, PalaTrento,Rocce Rosse,QUASI BAR
29,29,Terme San Leonardo ***,46.080888,11.043555,Trento,"Via per Vigolo Baselga, 8",+39 0461 866143, Roncafort,Vigolo Baselga-Ss45,Gourmet Relais & Maso Franch
30,30,Piccolo Principe ****,46.041486,11.004835,Lagolo,"Via Monte Bondone, 11",+39 0461 564250, Muse,Calavino-Via Battisti,Gourmet Relais & Maso Franch
31,31,Relais Villa Madruzzo ****,46.074083,11.146586,Trento,"Via Ponte Alto, 20",+39 0461 986220, Piazza Venezia,Cognola Grezoni,QUASI BAR
32,32,Relais Vecchio Maso ****,46.068303,11.056526,Trento,"Str. Monastero S. Anna, 2",+39 0461 1922000, Zuffo 2 via dos Trento,"Sopramonte ""Bunaga""",Gourmet Relais & Maso Franch
33,33,Vela ***,46.081945,11.102854,Trento,"Via SS. Cosma e Damiano, 21",+39 0461 827200, Zuffo 2 via dos Trento,Vela Centro,QUASI BAR
34,34,Sartoris ****,46.142265,11.103669,Lavis,"Via Nazionale, 33",+39 0461 246563, Stazione TN-Malè,Lavis Via Cembra 16,Gourmet Relais & Maso Franch
35,35,Zodiaco ***,46.051062,11.072427,Trento,"Strada per Vaneze, 23",+39 0461 939242, Muse,Vaneze,QUASI BAR
36,36,Bressan *,46.061551,10.990252,Pardegnone,"Via Nazionale, 15",+39 0461 864041, Zuffo 2 via dos Trento,Padergnone,Gourmet Relais & Maso Franch
37,37,Al Marinaio ***,46.035116,11.126162,Trento,"Via dei Marinai dItalia, 28",+39 0461 933053, Lidorno,Parcheggio Area Camper,Rosa Nera
38,38,Albermonaco ***?,46.0731,11.126414,Trento,"Via Torre dAugusto, 25",+39 0461 983060, Piazza di Centa,"Sanzio ""Castello""",QUASI BAR
39,39,America ***,46.071124,11.124129,Trento,"Via Torre Verde, 50",+39 0461 983010, Biblioteca,Torre Verde Galasso,QUASI BAR
40,40,Miralaghi **,46.058905,10.97911,Pardegnone,"Via Nazionale, 114",+39 0461 864010, Zuffo 2 via dos Trento,Due Laghi-Hotel Miralaghi,Gourmet Relais & Maso Franch
41,41,Monte Bondone ***,46.097411,11.058246,Trento,"Via dei Falchi, 19",+39 0461 947118, Roncafort,Lago di Terlago-Hotel Lillà,Gourmet Relais & Maso Franch
42,42,Due Laghi *,46.058938,10.978665,Pardegnone,"Via Nazionale, 117",+39 0461 864198, Zuffo 2 via dos Trento,Due Laghi-Hotel Miralaghi,Gourmet Relais & Maso Franch
43,43,Lillà ***?,46.098071,11.058179,Terlago,"Loc. Maso Travolt, 14",+39 0461 868027, Roncafort,Lago di Terlago-Hotel Lillà,Gourmet Relais & Maso Franch
44,44,Chalet Caminetto ***,46.038109,11.055346,Trento,"Strada di Vason, 139",+39 0461 948090, PalaTrento,Vason,QUASI BAR
45,45,Vason **,46.039487,11.057727,Trento,"Strada di Vason, 100",+39 0461 948149, PalaTrento,Vason,QUASI BAR
46,46,Montana ***?,46.040801,11.058415,Trento,"Strada di Vason, 70",+39 0461 948200, Muse,Vason,QUASI BAR
47,47,Vezzano **,46.077407,10.998532,Vezzano,"Via Roma, 156",+39 0461 864062, Roncafort,Vezzano,Gourmet Relais & Maso Franch
48,48,Aquila d'Oro ****,46.067842,11.121495,Trento,"Via R. Belenzani, 76",+39 0461 986282, Università,Rosmini S.Maria Maggiore,QUASI BAR
49,49,Norge wellness resort ****,46.048775,11.066649,Trento,"Strada per il Norge, 3",+39 0461 947436, Muse,Vaneze-Norge,QUASI BAR
50,50,Best Western ****,46.111387,11.092597,Trento,"Via Innsbruck, 11",+39 0461 966811, Gardolo - ex segheria,"Interporto ""Interbrennero""",Gourmet Relais & Maso Franch
51,51,Al Vecchio Mulino ***,46.076509,11.019952,Vezzano,"Loc. Naran, 1",+39 0461 864277, Roncafort,Vigolo Baselga-Pallonc.Rosso,Gourmet Relais & Maso Franch
52,52,Oasi *,46.099792,11.112011,Trento,"Via Bolzano, 14",+39 0461 992223 cell. 338 4040877, Canova,Gardolo-Cima,Gourmet Relais & Maso Franch
53,53,Augustus **,46.051569,11.072813,Trento,"Strada di Vaneze, 33/35",+39 0461 948030, Muse,Vaneze-Sp 85 Civ. 20,QUASI BAR
54,54,Adige ****,46.01488,11.132218,Trento,"Via Pomeranos, 10",+39 0461 944545, Aeroporto,Mattarello-Via Nazionale,Bar Smile
55,55,ALBERGO  AL CAMINETTO,46.1743,11.2235,Cembra,"Via C. Battisti, 7/9",+39 0461 683007,Mach,Cembra,Virus
56,56,ALBERGO 2 CAMINI,46.1258,11.2441,Baselga di Piné,"VIA DEL 26 MAGGIO, 65 Fraz. MIOLA",+39 0461 557200,Grazioli,Miola-Bivio Ferrari/Miola,Due camini
57,57,ALBERGO VILLA BETTY,46.126167,11.2353998,,"FRAZ. TRESSILLA, 32",+39 0461 557132,Grazioli,Tressilla,Due Pini
58,58,ALBERGO ITALIA,46.1339,11.2485,,"VIA C.BATTISTI, 96/98",,Grazioli,Baselga di Pine'-Lago,Villa Anita
59,59,ALBERGO EUROPA,46.1716,11.2199,Cembra,"VIA SAN CARLO, 19",+39 0461 683032,Mach,Cembra-Polo Scolastico,Rosalpina
60,60,ALBERGO DOLOMITI,46.16029,11.235001,Lona-Lases,"VIA PROVINCIALE, 28 Fraz. LONA",+39 0461 697029,Mach,Lona,Bar Ezzo
61,61,ALBERGO SERRAIA,46.1348,11.2491,Baselga di Piné,"VIALE DELLA SERRAIA, 3 ",+39 0461 557027,Grazioli,Baselga di Pine'-Lago,Bar Serraia
62,62,BIO HOTEL  BRUSAGO,46.1828,11.3255,Bedollo,"PIAZZA ROSMINI, 2 Fraz. BRUSAGO",+39 0461 556646,Mach,Brusago,BIO HOTEL BRUSAGO
63,63,GARNI' TURISMO,46.1175,11.2049,Fornace,"VIA DI SPIAZ, 19",+39 0461 849088, Bren Center,Fornace-Scuole,Bar Commercio
64,64,OLIMPIC HOTEL,46.125,11.2512,Baselga di Piné,"VIA DEL CADRÒBOL, 24 Fraz. MIOLA",+39 0461 558422, Bren Center,Miola-St. Ghiaccio,Ice Bar
65,65,ALBERGO RISTORANTE ALLE PIRAMIDI (SEGONZANO),46.187355,11.2584,Segonzano,"FRAZIONE SCANCIO, 24",+39 0461 686106,Mach,Scancio di Segonzano,Alle piramidi
66,66,PENSIONE MARIA TURISMO RURALE,46.23814,11.325241,Sover,"VIA DEL LAGORAI, 30 Fraz. PISCINE",+39 0461 698251,Mach,Piscine,Pensione Maria
67,67,ALBERGO SAN GIORGIO,46.1005,11.235456,Baselga di Piné,"VIA BERNARDI, 2 Fraz. MONTAGNAGA",+39 0461 557756, Cimitero Villazzano,"Montagnaga ""Villa Alpina""",S.Giorgio
68,68,POSTA 1899 - RISTORANTE CA' DEI BOCI,46.09855,11.2357,Baselga di Piné,"VIA D. TARGA, 1 Fraz. MONTAGNAGA",+39 0461 558322, Cimitero Villazzano,Montagnaga,Hotel Posta
69,69,HOTEL EDERA,46.1285,11.2374,Baselga di Piné,"TRESSILLA, 19 Fraz. TRESSILLA",+39 0461 557221,Grazioli,Tressilla,Due camini
70,70,GARNI' LAURA,46.1227,11.2597,Baselga di Piné,"VIA DEI PRAI, 37",+39 0461 553017, Bren Center,Canè,Ice Bar
71,71,ALBERGO VILLA PINE',46.131704,11.2425965,,"VIA SCUOLE, 9",,Grazioli,Baselga Municipio,Alpino
72,72,ALBERGO LAGORAI,46.1272,11.2466,Baselga di Piné,"VIA DEI CADUTI, 21",+39 0461 557044,Grazioli,Miola,Hotel Lagorai
73,73,ALBERGO MIRAMONTI ,46.1558,11.2879,Bedollo,"Via C.Cavour, 20",info@miramontipine.it,Mach,Piazze di Bedollo,ALBERGO PINETA 
74,74,ALBERGO RISTORANTE DOSS PULES,46.155827,11.155343,Giovo,LOCALITA' DOSS DEL PULES Fraz. VERLA,+39 0461 684046, Pressano,Verla-Cantina Rossi,Bar al Portec
75,75,HOTEL KRONE,46.1343,11.2486,Baselga di Piné,"VIA CESARE BATTISTI, 109/111",+39 0461 553160,Grazioli,Baselga di Pine'-Lago,Bianco
76,76,Hotel Scoiattolo,46.1125,11.234166,Baselga di Piné,"VIA DEL BEDOLÈ, 12/14 Fraz. BEDOLE'",+39 0461 557739, Bren Center,Ferrari-Hotel Scoiattolo,S.Giorgio
77,77,ALBERGO LAGO SANTO,46.1969,11.2055,Cembra,"LOCALITÀ LAGO SANTO, 1 Fraz. LAGO SANTO",+39 0461 683066,Mach,Cembra-Loc.Molini,Albergo al lago
78,78,GARNI' VILLA LORY,46.123,11.2522,Baselga di Piné,"VIA DEL CADROBOL, 32 Fraz. MIOLA",+39 0461 557211, Bren Center,Miola-St. Ghiaccio,Ice Bar
79,79,ALBERGO LAGO SANTA COLOMBA,46.12445,11.1798,Civezzano,"LOCALITA' SANTA COLOMBA, 80/81 ",+39 0461 850122, Gardolo - ex segheria,Bosco-Loc. Canova,BAR SPORT (ALBIANO)
80,80,HOTEL 2 PINI,46.123916,11.241694,Baselga di Piné,"VIA DEL 26 MAGGIO, 24 Fraz. VIGO DI BASELGA",+39 0461 557030, Bren Center,Miola-Bivio Ferrari/Miola,Due Pini
81,81,ALBERGO PONCIACH,46.2075,11.2312,Faver,"VIA PONCIACH, 14 Fraz. PONCIACH",+39 0461 683166,Mach,Faver Loc. Portegnago,Happy Ranch Saloon
82,82,ALBERGO POSTA,46.088844,11.180852,Civezzano,"VIA ROMA, 28",+39 0461 858525, Piazza di Centa,Civezzano-Strada Alla Fersina,QUASI BAR
83,83,ALBERGO RITORANTE DUE LAGHI,46.1508,11.273,Baselga di Piné,"LOCALITA' CAMPOLONGO, 116",+39 0461 554074 ,Mach,Campolongo,Due Laghi
84,84,HOTEL ALLE PIRAMIDI,46.187355,11.2584,Segonzano,"FRAZIONE SCANCIO, 24 Fraz. SCANCIO",+39 0461 686106,Mach,Scancio di Segonzano,Alle piramidi
85,85,HOTEL BELVEDERE WELLNESS & FAMILY,46.0959,11.2345,Baselga di Piné,"VIA D. TARGA, 45 Fraz. MONTAGNAGA",+39 0461 557750, Cimitero Villazzano,Montagnaga,Hotel Belvedere Wellness & Family
86,86,HOTEL MONTECROCE,46.1826,11.3259,Bedollo,"PIAZZA ROSMINI, 6 Fraz. BRUSAGO",+39 0461 556603,Mach,Brusago,ALBERGO MONTECROCE
87,87,HOTEL SALVANEL,46.2925,11.4598,Cavalese,"VIA CARLO ESTERLE, 3",+39(0462)232057,Stazione TN-Malè - RFI,Cavalese P. Francescani,BIRRERIA E SPAGHETTERIA IL VICOLETTO
88,88,ALLA ROSA,46.3108059,11.6013302,Predazzo,"VIA GARIBALDI, 30",+39(0462)501239,Mach,Predazzo-I.T.C.,CAFFE' PREDAZZO
89,89,STELLA,46.2901777,11.4605315,Cavalese,"PIAZZA 12 PARTIGIANI, 7",+39(0462)341363,Stazione TN-Malè - RFI,Cavalese Piazza G.Verdi,TANA DEL GRILLO
90,90,PARK HOTEL AZALEA,46.2899,11.4579,Cavalese,"VIA CESURE, 1",+39(0462)340109,Stazione TN-Malè - RFI,Cavalese Piazza G.Verdi,BAR GIARDINETTO
91,91,HOTEL LA ROCCIA,46.2888972,11.4685805,Cavalese,"VIA MARCO, 53",+39(0462)231133,Stazione TN-Malè - RFI,Cavalese-Case Itea,FITNESS BAR
92,92,PANORAMA,46.2876,11.468,Cavalese,"VIA CAVAZAL, 3",+39(0462)341636,Stazione TN-Malè - RFI,Cavalese-Case Itea,FITNESS BAR
93,93,MONTANARA,46.3164217,11.600369,Predazzo,"VIA INDIPENDENZA, 110",+39(0462)501116,Stazione TN-Malè - RFI,Predazzo-Distributore Agip,POLDO PUB
94,94,LATEMAR,46.2830673,11.4369615,Castello-Molina di Fiemme,"VIA LATEMAR, 16",+39(0462)340055,Stazione TN-Malè - RFI,Castello di Fiemme,BAR CASTELLO
95,95,HOTEL MARGHERITA,46.3122,11.6663,Predazzo,"Via Viezzena, 1",+39(0462)576140,Mach,Bellamonte,SPORTING
96,96,GARNI' MANUELA,46.2914452,11.462862,Cavalese,"VIA PIZZEGODA, 3/A",+39(0462)230381,Stazione TN-Malè - RFI,Cavalese Piazza G.Verdi,BAR PLAZA
97,97,BELVEDERE,46.2854,11.5402,Panchià,"VIA NAZIONALE, 6",+39(0462)813088,Mach,Panchia',BAR CROCE BIANCA
98,98,SPORT HOTEL SASS MAOR,46.3098,11.6067,Predazzo,"VIA MARCONI, 4",+39(0462)501538,Mach,Predazzo Autostaz.,BAR PASTICCERIA SCARABELLIN
99,99,HOTEL SAN CELSO,46.3129,11.6663,Predazzo,"Via Pra de Mont, 27",+39(0462)576118,Mach,Bellamonte,SPORTING
100,100,ALBERGO EDY,46.3009,11.4486,Ville di Fiemme,"VIA COSTA DALL'OR, 8",+39(0462)340472,Stazione TN-Malè - RFI,Daiano,BAR BOCCE - DAIANO
101,101,ALPINO,46.3037483511803,11.456036567688,Varena,"VIA MERCATO, 8",+39(0462)340460,Stazione TN-Malè - RFI,Varena Centro-Alb. Alpino,BAR VARENA
102,102,LIZ,46.3071576990794,11.6002428531647,Predazzo,"VIA FIAMME GIALLE, 51",+39(0462)501264,Mach,Predazzo-Borgo Nuovo,BAR LAGORAI
103,103,HOTEL LA BICOCCA,46.3063869085652,11.7337417602539,Predazzo,"Via Nazionale, 3",+39(0462)576136,Mach,Paneveggio,SPORTING
104,104,CAURIOL,46.2904,11.5676,Ziano di Fiemme,"VIA CAURIOL, 5",+39(0462)571147,Mach,Ziano di Fiemme-Alla Roda,BAR AL PARCO - ZIANO DI FIEMME
105,105,NEGRITELLA,46.2840577,11.5612795,Ziano di Fiemme,"VIA STAZIONE, 5",+39(0462)571148,Mach,Ziano di Fiemme,BAR  BUNKER
106,106,ORSO GRIGIO,46.2915771,11.4589324,Cavalese,"VIA GIOVANELLI, 5",+39(0462)341481,Stazione TN-Malè - RFI,Cavalese P. Francescani,BAR GIARDINETTO
107,107,HOTEL CANADA,46.3037,11.6676,Predazzo,"Via della Torba, 1",+39(0462)576245,Mach,Bellamonte-H.Torretta,SPORTING
108,108,TILDE,46.2911146,11.5102901,Tesero,"VICOLO SCARIO, 3",+39(0462)814266,Stazione TN-Malè - RFI,Tesero,DIXIE PUB
109,109,HOTEL TORRETTA,46.3122,11.6663,Predazzo,"Via Prai de Mont, 43",+39(0462)576120,Mach,Bellamonte,SPORTING
110,110,CORONA,46.29,11.4386,Ville di Fiemme,"VIA COLTURA, 1/A",+39(0462)340246,Stazione TN-Malè - RFI,Carano Via Giovanelli,BAR AL TABIO
111,111,EXCELSIOR EL MOLIN,46.2916266,11.4595622,Cavalese,"PIAZZA C.BATTISTI, 11",+39(0462)340403,Stazione TN-Malè - RFI,Cavalese P. Francescani,BAR GIARDINETTO
112,112,LUCIA,46.3423,11.5451,Tesero,"VIA SOCCE, 9",+39(0462)813114,Stazione TN-Malè - RFI,Stava,SKI BAR SCUOLA DI SCI
113,113,ALLA ROCCA,46.304697060613,11.456937789917,Varena,"VIA ALPINI, 10",+39(0462)340321,Stazione TN-Malè - RFI,Varena,BAR VARENA
114,114,GARNI' BELVEDERE,46.3122283,11.6671593,Predazzo,Via Prai de Mont 14,+39(0462)576133,Mach,Bellamonte,SPORTING
115,115,MARIA,46.3162,11.5973,Predazzo,"CORSO DOLOMITI, 43",+39(0462)501203,Stazione TN-Malè - RFI,Predazzo-Distributore Agip,BIRRERIA PUB GAMS
116,116,PARK HOTEL REGINA DELLE DOLOMITI,46.2818,11.5444,Panchià,"VIA NAZIONALE, 2",+39(0462)813109,Mach,Panchia',BAR GIMA
117,117,ALBERGO VERONZA,46.2901,11.4328,Ville di Fiemme,"VIA DEL NONEDOL, 1",+39(0462)342222,Stazione TN-Malè - RFI,V.Veronza H.Veronza,BAR AL TABIO
118,118,GARNI' LAURINO,46.289883,11.4603011,Cavalese,"VIA ANTONIAZZI, 14",+39(0462)340151,Stazione TN-Malè - RFI,Cavalese Via Mendini,TANA DEL GRILLO
119,119,LA STUA,46.2932332,11.4591886,Cavalese,"VIA BALDIERONI, 2",+39(0462)340235,Stazione TN-Malè - RFI,Cavalese P. Francescani,BIRRERIA E SPAGHETTERIA IL VICOLETTO
120,120,GARNI' FONTE DEI VELI,46.2866,11.5384,Panchià,"VIA GIANTRETTEL, 25",+39 (0462)810002,Mach,Panchia',BAR CROCE BIANCA
121,121,HOTEL STELLA ALPINA,46.3122283,11.6671593,Predazzo,Via Prai de Mont 9,+39(0462)576114,Mach,Bellamonte,SPORTING
122,122,ZANON,46.2904,11.5676,Ziano di Fiemme,"VIA CORONELLA, 19",+39(0462)571100,Mach,Ziano di Fiemme-Alla Roda,BAR AL PARCO - ZIANO DI FIEMME
123,123,HOTEL ERICA,46.3150132141128,11.5029001235962,Tesero,"LOCALITA' STAVA, 1",+39(0462)810186,Stazione TN-Malè - RFI,Stava,CAFE' STRADIVARI
124,124,PONT'HOTEL,46.2838831,11.5603995,Ziano di Fiemme,"VIA STAZIONE, 3",+39(0462)571138,Mach,Ziano di Fiemme,BAR  BUNKER
125,125,HOTEL GARDEN,46.2893391,11.4526972,Cavalese,"VIA TRENTO, 23",+39(0462)340483,Stazione TN-Malè - RFI,Cavalese-Ospedale,BAR TRENTO
126,126,ANCORA,46.2728,11.4158,Castello-Molina di Fiemme,"VIA MARCONI, 4",+39(0462)340044,Stazione TN-Malè - RFI,Molina di Fiemme-Scuole,BAR SPORT
127,127,HOTEL BELLAMONTE,46.3122283,11.6671593,Predazzo,"VIA PRAI DE MONT, 52",+39(0462)576082,Mach,Bellamonte,SPORTING
128,128,HOTEL ANTICO,46.3122,11.6682,Predazzo,"Via Prai De Mont, 19",+39(0462)576122,Mach,Bellamonte,SPORTING
129,129,OLIMPIONICO HOTEL,46.2834064386361,11.4388704299927,Castello-Molina di Fiemme,"VIA DOLOMITI, 13",+39(0462)340744,Stazione TN-Malè - RFI,Castello di Fiemme Via Roma,BAR CASTELLO
130,130,SERENETTA,46.3030664561206,11.4554786682129,Varena,"VIA MERCATO, 22",+39(0462)340342,Stazione TN-Malè - RFI,Varena Centro-Alb. Alpino,BAR AL DRAGO
131,131,RIO STAVA FAMILY RESORT & SPA,46.2960997,11.5044179,Tesero,"VIA MULINI, 20",+39(0462)814446,Stazione TN-Malè - RFI,"Tesero Sp 215 ""Casa di Riposo""",BAR BOCCE - TESERO
132,132,PARK HOTEL SACRO CUORE,46.2915096,11.4565928,Cavalese,"VIA VAL DI RONCO, 1",+39(0462)340161,Stazione TN-Malè - RFI,Cavalese-P.Zza Partigiani,BAR GIARDINETTO
133,133,GOCCIA D'ORO,46.2887741,11.4516513,Cavalese,VIA RENALDO,+39(0462)342892,Stazione TN-Malè - RFI,Cavalese Via Marmolaia,BAR NUOVO POME
134,134,HOTEL MARIA,46.2929,11.4438,Ville di Fiemme,"VIA GIOVANELLI, 4/A",+39(0462)341472,Stazione TN-Malè - RFI,Carano Via Giovanelli 11,BAR BOCCE - CARANO
135,135,EUROTEL DEL CERMIS,46.2378104,11.4769019,Cavalese,LOCALITA' ALPE CERMIS,+39(0462)340572,Mach,Masi-Campo Sportivo,PICCOLO BAR
136,136,ROSENGARTEN,46.2828403,11.4357896,Castello-Molina di Fiemme,"VIA ROMA, 46",+39(0462)235507,Stazione TN-Malè - RFI,Castello di Fiemme,BAR CASTELLO
137,137,HOTEL SOLE - BELLAMONTE,46.310638,11.6747376,Predazzo,"Via de l'Or, 8",+39(0462)576299,Mach,Bellamonte-H.Torretta,SPORTING
138,138,BERG HOTEL MIRAMONTI,46.3162,11.5031,Tesero,"LOCALITÀ STAVA, 5",+39(0462)814177,Stazione TN-Malè - RFI,Stava,CAFE' STRADIVARI
139,139,SAN VALIER,46.288467,11.462169,Cavalese,"VIA MARCONI, 7",+39(0462)341285,Stazione TN-Malè - RFI,Cavalese Autostaz.,BAR STAZIONE
140,140,ITALIA,46.2724910452049,11.4168119430542,Castello-Molina di Fiemme,"VIA SEGHERIE, 80",+39(0462)341335,Stazione TN-Malè - RFI,Molina di Fiemme-Scuole,BAR SPORT
141,141,LOS ANDES,46.282358,11.4379361,Castello-Molina di Fiemme,"VIA DOLOMITI, 5",+39(0462)340098,Stazione TN-Malè - RFI,Castello di Fiemme,BAR CASTELLO
142,142,SCOIATTOLO,46.3418295,11.5401582,Tesero,"LOCALITA'PAMPEAGO, 1",+39(0462)813244,Stazione TN-Malè - RFI,Stava,SPORT HOTEL PAMPEAGO
143,143,AL CERVO,46.2892,11.5117,Tesero,"VICOLO PARE', 4",+39(0462)813139,Mach,Tesero,BAR PAN & CAFFE'
144,144,VINELLA,46.3169991468948,11.5974855422974,Predazzo,"VIA MAZZINI, 76",+39(0462)501151,Stazione TN-Malè - RFI,Predazzo-Distributore Agip,POLDO PUB
145,145,HOTEL SHANDRANI (DIP),46.3225119556636,11.5042304992676,Tesero,LOCALITA'STAVA,+39(0462)814737,Stazione TN-Malè - RFI,Stava,CAFE' STRADIVARI
146,146,ANCORA,46.3111745278179,11.6029357910156,Predazzo,"VIA IX NOVEMBRE, 1",+39(0462)501651,Mach,Predazzo Autostaz.,BAR ANCORA
147,147,DOLOMITI,46.3481,11.4905,Varena,"VIA LAVAZE', 1",+39(0462)341103,Cavalleggeri,Stava,CAFE' STRADIVARI
148,148,COSTABELLA,46.2960981,11.454679,Cavalese,"VIA COSTABELLA, 1",+39(0462)340589,Stazione TN-Malè - RFI,Cavalese-V.Matteotti Km.22,BAR VIENNA
149,149,HOTEL BELLARIA,46.3114,11.5993,Predazzo,"CORSO A.DEGASPERI, 20",+39(0462)501648,Mach,Predazzo-I.T.C.,VIDEO MUSIC
150,150,BELLA COSTA,46.2893391,11.4526972,Cavalese,"VIA TRENTO, 34/A",+39(0462)231154,Stazione TN-Malè - RFI,Cavalese-Ospedale,BAR TRENTO
151,151,POLO,46.2904,11.5676,Ziano di Fiemme,"VIA NAZIONALE, 7/9",+39(0462)571131,Mach,Ziano di Fiemme-Alla Roda,BAR AL PARCO - ZIANO DI FIEMME
152,152,MONTANARA,46.2904,11.5676,Ziano di Fiemme,"VIA NAZIONALE, 116",+39(0462)571142,Mach,Ziano di Fiemme-Alla Roda,BAR AL PARCO - ZIANO DI FIEMME
153,153,HOTEL BELLAVISTA - HBV WINEBAR,46.2919029229954,11.4616584777832,Cavalese,"VIA PIZZEGODA, 5",+39(0462)340205,Stazione TN-Malè - RFI,Cavalese Piazza G.Verdi,BAR PLAZA
154,154,BELVEDERE (DIP),46.2818,11.5444,Panchià,"VIA NAZIONALE, 1/L",+39(0462)813088,Mach,Panchia',BAR GIMA
155,155,HOTEL VILLA DI BOSCO,46.3126122140671,11.5039730072021,Tesero,"LOCALITA'STAVA, 2",+39(0462)813738,Stazione TN-Malè - RFI,Stava-Chiesetta,CAFE' STRADIVARI
156,156,HOTEL SHANDRANI,46.3207929673643,11.5024065971375,Tesero,"VIA PAMPEAGO, 36",+39(0462)814737,Stazione TN-Malè - RFI,Stava,CAFE' STRADIVARI
